ContractID;Branch;CustomerGroup;Company;Cities;Country;Location;Store;Currency contract;RentalArea;ApportionmentArea;StartDate;PossibleEndDate;EndDate;Only contract extracts available;Owner;Admin;Capping/flat-rate maintenance, repair and overhaul;Capping/flat-rate administration and management
V4;E1062;Esprit;Esprit Retail B.V. & Co. KG;Erfurt;Deutschland; Anger 1 (Anger 1);EDC Store;EUR;372;312;23082000;30092015;30092015;Nein;;ECE Projektmanagement G.m.b.H. & Co. KG (n.n, n.n ) [AP29];Ja;Ja
V5;E1001;Esprit;Esprit Retail B.V. & Co. KG;Aachen;Deutschland; Holzgraben 9;Esprit Store;EUR;1805.57;1805.57;17072002;16072017;16072017;Nein;;;Nein;Ja
V8;E1228;Esprit;Esprit Retail B.V. & Co. KG;Stuttgart;Deutschland; Königstr. 12;Esprit Store;EUR;700;700;20022002;16012012;16012012;Nein;;;Nein;Nein
V7;E1049;Esprit;Esprit Retail B.V. & Co. KG;Dortmund;Deutschland; Westenhellweg 37-41;Esprit Store;EUR;3603.5;3603.5;16122005;30092020;30092020;Nein;;;Nein;Nein
V13;E1197;Esprit;Esprit Retail B.V. & Co. KG;Ratingen;Deutschland; Am Rosenkothen 8;Esprit Store;EUR;1500;1200;;;;;;;Nein;Nein
V14;E1003;Esprit;Esprit Retail B.V. & Co. KG;Augsburg;Deutschland; Willy-Brandt-Platz 1 (City-Galerie);Esprit Store;EUR;1398.99;1138;22082001;31052012;31052012;Nein;;ECE Projektmanagement G.m.b.H. & Co. KG (n.n, n.n ) [AP29];Ja;Nein
V15;E1047;Esprit;Esprit Retail B.V. & Co. KG;Dinslaken;Deutschland; Neustr. 31-33;Esprit Store;EUR;840;840;15022007;28022017;28022017;Nein;;;Nein;Nein
V16;E1232;Esprit;Esprit Retail B.V. & Co. KG;Ulm;Deutschland; Hirschstr. 14;Esprit Store;EUR;1957;1957;1072007;30062017;30062017;Nein;;;Nein;Nein
V17;E1237;Esprit;Esprit Retail B.V. & Co. KG;Wuppertal;Deutschland; Schlössergasse 1;Esprit Store;EUR;365;365;1022007;31012017;31012017;Nein;;;Ja;Nein
V18;E1239;Esprit;Esprit Retail B.V. & Co. KG;Würzburg;Deutschland; Dominikanerplatz 1;Esprit Store;EUR;840;840;10042000;31032015;31032015;Nein;;;Nein;Nein
V19;E1238;Esprit;Esprit Retail B.V. & Co. KG;Wuppertal;Deutschland; Werth 1 - 5;EDC Store;EUR;383;203;1122007;14012012;14012012;Nein;;;Nein;Nein
V20;E1233;Esprit;Esprit Retail B.V. & Co. KG;Viernheim;Deutschland; Robert-Schuman-Str. 8a (Rhein Neckar Zentrum);Esprit Store;EUR;610.36;505.1;15052002;31122013;31122013;Nein;;ECE Projektmanagement G.m.b.H. & Co. KG (n.n, n.n ) [AP29];Ja;Nein
V21;E1036;Esprit;Esprit Retail B.V. & Co. KG;Bonn;Deutschland; Remigiusstr. 18;Esprit Store;EUR;1000;1000;15072002;14072017;14072017;Nein;;;Nein;Nein
V22;E1231;Esprit;Esprit Retail B.V. & Co. KG;Trier;Deutschland; Brotstr. 53;Esprit Store;EUR;1525.74;1525.74;8072005;31072020;31072020;Nein;;;Nein;Nein
V24;E1008;Esprit;Esprit Retail B.V. & Co. KG;Berlin;Deutschland; Tauentzienstr. 9-12 (Europa-Center);Esprit Store;EUR;2699;2699;25052000;24052008;24052008;Nein;;;Ja;Nein
V25;E1015;Esprit;Esprit Retail B.V. & Co. KG;Berlin;Deutschland; Prerower Platz 1 (Lindencenter);Esprit Store;EUR;493;454;16012006;31032016;31032016;Nein;;ECE Projektmanagement G.m.b.H. & Co. KG (n.n, n.n ) [AP29];Nein;Nein
V26;E1005;Esprit;Esprit Retail B.V. & Co. KG;Berlin;Deutschland; Gruner Str. 20 (Alexa);Esprit Store;EUR;1567.39;1097.17;6062007;11092017;11092017;Nein;;;Ja;Ja
V28;E1004;Esprit;Esprit Retail B.V. & Co. KG;Augsburg;Deutschland; Annastr. 15 (Hummelpassage);Esprit Store;EUR;1507;1507;1022005;31012020;31012020;Nein;;;Nein;Nein
V34;E1219;Esprit;Esprit Retail B.V. & Co. KG;Siegen;Deutschland; Am Bahnhof 40 (City-Galerie);Esprit Store;EUR;719.95;694.95;17102001;31122011;31122011;Nein;;ECE Projektmanagement G.m.b.H. & Co. KG (n.n, n.n ) [AP29];Ja;Nein
V32;E1010;Esprit;Esprit Retail B.V. & Co. KG;Berlin;Deutschland; Badstr. 4 (Gesundbrunnen-Center);EDC Store;EUR;332.08;291.7;30072007;30092017;31072014;Nein;;ECE Projektmanagement G.m.b.H. & Co. KG (n.n, n.n ) [AP29];Ja;Ja
V33;E1220;Esprit;Esprit Retail B.V. & Co. KG;Siegen;Deutschland; Am Bahnhof 40 (City-Galerie);EDC Store;EUR;191.49;169.62;15032007;31032017;31032017;Nein;;ECE Projektmanagement G.m.b.H. & Co. KG (n.n, n.n ) [AP29];Ja;Nein
V35;E1218;Esprit;Esprit Retail B.V. & Co. KG;Schwerin;Deutschland; Marienplatz 5-6 (Schlosspark-Center );Esprit Store;EUR;450.18;450.18;19082008;30092018;30092018;Nein;;ECE Projektmanagement G.m.b.H. & Co. KG (n.n, n.n ) [AP29];Ja;Nein
