"pkey","creationTime","lastChangeTime","undeletable","name","cGroup","street","zip","city","anschreiben_DE","kontoNr","blz","bankName","iban","anschreibenVorlageBetreff","anschreibenVorlageText","country","vat","anschreibenVorlageBetreff_rel","anschreibenVorlageText_rel","anschreiben_FR","anschreiben_EN","anschreiben_CH","anschreiben_NL","anschreiben_BE","anschreiben_IT","konditionsUndFristenliste"
"1","1266409739","1585234417","0","Esprit Retail B.V. & Co. KG","1","Esprit Allee","40882","Ratingen","128320","234001","300 308 80","Trinkaus & Burkhardt  in Düsseldorf",,"%LADEN_NAME% in %LADEN_PLZ% %LADEN_STADT%, %LADEN_STRASSE% Nebenkostenabrechnung %JAHR%","%AP_ANREDEKOMPLETT%,

für die Prüfung von Nebenkostenabrechnungen nutzen wir das Know-how der Seybold GmbH und deren Fachspezialisten.

Aus der Prüfung hat sich ergeben, dass zu viele Kosten auf uns umgelegt wurden. Bitte lassen Sie uns die in der Anlage genannten Gutschriften bzw. Nachweise bis zum %DATUM_ABSCHLUSS% zukommen.

Bei Rückfragen wenden Sie sich bitte an unseren Dienstleister die Firma Seybold. Den Ansprechpartner %KM_ANREDE% %KM_NACHNAME% erreichen Sie wie folgt: Tel.: %KM_TEL%, E-Mail: %KM_EMAIL%.

Wir hoffen auf eine weiterhin partnerschaftliche Zusammenarbeit.
",,,"16","18","74352","89786","113770","74354","0","74353","-1"
"2","1270646957","1585234431","0","Esprit Wholesale GmbH","1","Esprit Allee","40882","Ratingen","128321","1305018","300 308 80","Trinkaus & Burkhardt  in Düsseldorf",,"%LADEN_NAME% in %LADEN_PLZ% %LADEN_STADT%, %LADEN_STRASSE% Nebenkostenabrechnung %JAHR%","%AP_ANREDEKOMPLETT%,

für die Prüfung von Nebenkostenabrechnungen nutzen wir das Know-how der Seybold GmbH und deren Fachspezialisten.

Aus der Prüfung hat sich ergeben, dass zu viele Kosten auf uns umgelegt wurden. Bitte lassen Sie uns die in der Anlage genannten Gutschriften bzw. Nachweise bis zum %DATUM_ABSCHLUSS% zukommen.

Bei Rückfragen wenden Sie sich bitte an unseren Dienstleister die Firma Seybold. Den Ansprechpartner %KM_ANREDE% %KM_NACHNAME% erreichen Sie wie folgt: Tel.: %KM_TEL%, E-Mail: %KM_EMAIL%.

Wir hoffen auf eine weiterhin partnerschaftliche Zusammenarbeit.",,,"16","18","74847","89801","74845","57990","0","57989","-1"
"3","1280318973","1585235501","0","Esprit Europe GmbH","1","Esprit Allee","40882","Ratingen","128324","1405004","300 308 80","Trinkaus & Burkhardt  in Düsseldorf",,"%LADEN_NAME% in %LADEN_PLZ% %LADEN_STADT%, %LADEN_STRASSE% Nebenkostenabrechnung %JAHR%","%AP_ANREDEKOMPLETT%,

für die Prüfung von Nebenkostenabrechnungen nutzen wir das Know-how der Seybold GmbH und deren Fachspezialisten.

Aus der Prüfung hat sich ergeben, dass zu viele Kosten auf uns umgelegt wurden. Bitte lassen Sie uns die in der Anlage genannten Gutschriften bzw. Nachweise bis zum %DATUM_ABSCHLUSS% zukommen.

Bei Rückfragen wenden Sie sich bitte an unseren Dienstleister die Firma Seybold. Den Ansprechpartner %KM_ANREDE% %KM_NACHNAME% erreichen Sie wie folgt: Tel.: %KM_TEL%, E-Mail: %KM_EMAIL%.

Wir hoffen auf eine weiterhin partnerschaftliche Zusammenarbeit.","Deutschland",,"16","18","74842","89797","112582","74841","0","74839","-1"
"4","1296478730","1631085110","0","Gries Deco Company GmbH","3","Boschstr. 7","63843","Niedernberg","141662","104050000","79540049","Commerzbank Aschaffenburg","DE89795400490104050000","%LADEN_NAME% in %LADEN_STADT%, %LADEN_STRASSE% Nebenkostenabrechnung %JAHR%","%AP_ANREDEKOMPLETT%,

für die Prüfung von Nebenkostenabrechnungen nutzen wir das Know-how der Seybold GmbH und deren Fachspezialisten.

Aus der Prüfung hat sich ergeben, dass zu viele Kosten auf uns umgelegt wurden. Bitte lassen Sie uns die in der Anlage genannten Gutschriften bzw. Nachweise bis zum %DATUM_ABSCHLUSS% zukommen.

Bei Rückfragen wenden Sie sich bitte an unseren Dienstleister die Firma Seybold. Den Ansprechpartner %KM_ANREDE% %KM_NACHNAME% erreichen Sie wie folgt:
Tel.: %KM_TEL%, E-Mail: %KM_EMAIL%.

Wir hoffen auf eine weiterhin partnerschaftliche Zusammenarbeit.",,,"16","15","136176","141663","141661","115251","0","115250","-1"
"5","1297172724","1397030304","0","TOM TAILOR Retail GmbH","5","Garstedterweg 14","22453","Hamburg","20360","0966694100","20080000","Commerzbank AG",,"%LADEN_NAME% in %LADEN_PLZ% %LADEN_STADT%, %LADEN_STRASSE% Nebenkostenabrechnung %JAHR%","%AP_ANREDEKOMPLETT%,

für die Prüfung von Nebenkostenabrechnungen nutzen wir das Know-how der Seybold GmbH und deren Fachspezialisten.

Aus der Prüfung hat sich ergeben, dass zu viele Kosten auf uns umgelegt wurden. Bitte lassen Sie uns die in der Anlage genannten Gutschriften bzw. Nachweise bis zum %DATUM_ABSCHLUSS% zukommen.

Bei Rückfragen wenden Sie sich bitte an unseren Dienstleister die Firma Seybold. Den Ansprechpartner %KM_ANREDE% %KM_NACHNAME% erreichen Sie wie folgt:
Tel.: %KM_TEL%, E-Mail: %KM_EMAIL%.

Wir hoffen auf eine weiterhin partnerschaftliche Zusammenarbeit.",,,"0","0","0","0","0","0","0","0","0"
"6","1297172956","1429189327","0","Mayersche Buchhandlung KG","4","Matthiashofstraße 28-30","52064","Aachen","42250","810","390 500 00","Sparkasse Aachen",,"%LADEN_NAME% in %LADEN_STADT%, %LADEN_STRASSE% Nebenkostenabrechnung %JAHR%","%AP_ANREDEKOMPLETT%,

für die Prüfung von Nebenkostenabrechnungen nutzen wir das Know-how der Seybold GmbH und deren Fachspezialisten.

Aus der Prüfung hat sich ergeben, dass zu viele Kosten auf uns umgelegt wurden. Bitte lassen Sie uns die in der Anlage genannten Gutschriften bzw. Nachweise bis zum %DATUM_ABSCHLUSS% zukommen.

Bei Rückfragen wenden Sie sich bitte an unseren Dienstleister die Firma Seybold. Den Ansprechpartner %KM_ANREDE% %KM_NACHNAME% erreichen Sie wie folgt:
Tel.: %KM_TEL%, E-Mail: %KM_EMAIL%.

Wir hoffen auf eine weiterhin partnerschaftliche Zusammenarbeit.
",,,"16","15","42252","42251","0","0","0","0","0"
"7","1297776906","1431938829","0","Musterkunde GmbH","6","Tübinger Str. 43","70178","Stuttgart","42169",,,,,"%LADEN_NAME% in %LADEN_PLZ% %LADEN_STADT%, %LADEN_STRASSE% Nebenkostenabrechnung %JAHR%","%AP_ANREDEKOMPLETT%,

für die Prüfung von Nebenkostenabrechnungen nutzen wir das Know-how der Seybold GmbH und deren Fachspezialisten.

Aus der Prüfung hat sich ergeben, dass zu viele Kosten auf uns umgelegt wurden. Bitte lassen Sie uns die in der Anlage genannten Gutschriften bzw. Nachweise bis zum %DATUM_ABSCHLUSS% zukommen.

Bei Rückfragen wenden Sie sich bitte an unseren Dienstleister die Firma Seybold. Den Ansprechpartner %KM_ANREDE% %KM_NACHNAME% erreichen Sie wie folgt: Tel.: %KM_TEL%, E-Mail: %KM_EMAIL%.

Wir hoffen auf eine weiterhin partnerschaftliche Zusammenarbeit.
","Deutschland",,"16","15","42171","42170","0","0","0","0","0"
"8","1301646529","1397030140","0","Mexx Modehandels GmbH","7","Mühlenstraße 57","41352","Korschenbroich","19122","01921 808 00","310 400 15","Commerzbank Mönchengladbach AG",,"%LADEN_NAME% in %LADEN_PLZ% %LADEN_STADT%, %LADEN_STRASSE% Nebenkostenabrechnung %JAHR%","%AP_ANREDEKOMPLETT%,

für die Prüfung von Nebenkostenabrechnungen nutzen wir das Know-how der Seybold GmbH und deren Fachspezialisten.

Aus der Prüfung hat sich ergeben, dass zu viele Kosten auf uns umgelegt wurden. Bitte lassen Sie uns die in der Anlage genannten Gutschriften bzw. Nachweise bis zum %DATUM_ABSCHLUSS% zukommen.

Bei Rückfragen wenden Sie sich bitte an unseren Dienstleister die Firma Seybold. Den Ansprechpartner %KM_ANREDE% %KM_NACHNAME% erreichen Sie wie folgt:
Tel.: %KM_TEL%, E-Mail: %KM_EMAIL%.

Wir hoffen auf eine weiterhin partnerschaftliche Zusammenarbeit.
",,,"0","0","0","0","0","0","0","0","0"
"9","1305623221","1397029998","0","Hilfiger Stores GmbH","8","Speditionstraße 7","40221","Düsseldorf","27497",,,,,"%LADEN_NAME% in %LADEN_PLZ% %LADEN_STADT%, %LADEN_STRASSE% Nebenkostenabrechnung %JAHR%","%AP_ANREDEKOMPLETT%,

für die Prüfung von Nebenkostenabrechnungen nutzen wir das Know-how der Seybold GmbH und deren Fachspezialisten.

Aus der Prüfung hat sich ergeben, dass zu viele Kosten auf uns umgelegt wurden. Bitte lassen Sie uns die in der Anlage genannten Gutschriften bzw. Nachweise bis zum %DATUM_ABSCHLUSS% zukommen.

Bei Rückfragen wenden Sie sich bitte an unseren Dienstleister die Firma Seybold. Den Ansprechpartner %KM_ANREDE% %KM_NACHNAME% erreichen Sie wie folgt:
Tel.: %KM_TEL%, E-Mail: %KM_EMAIL%.

Wir hoffen auf eine weiterhin partnerschaftliche Zusammenarbeit.",,,"0","0","0","0","0","0","0","0","0"
"10","1305637889","1397030164","0","PVH Deutschland GmbH","8","Speditionstr. 7","40221 ","Düsseldorf","19141",,,,,"%LADEN_NAME% in %LADEN_PLZ% %LADEN_STADT%, %LADEN_STRASSE% Nebenkostenabrechnung %JAHR%","%AP_ANREDEKOMPLETT%,

für die Prüfung von Nebenkostenabrechnungen nutzen wir das Know-how der Seybold GmbH und deren Fachspezialisten.

Aus der Prüfung hat sich ergeben, dass zu viele Kosten auf uns umgelegt wurden. Bitte lassen Sie uns die in der Anlage genannten Gutschriften bzw. Nachweise bis zum %DATUM_ABSCHLUSS% zukommen.

Bei Rückfragen wenden Sie sich bitte an unseren Dienstleister die Firma Seybold. Den Ansprechpartner %KM_ANREDE% %KM_NACHNAME% erreichen Sie wie folgt:
Tel.: %KM_TEL%, E-Mail: %KM_EMAIL%.

Wir hoffen auf eine weiterhin partnerschaftliche Zusammenarbeit.
","Deutschland",,"0","0","0","0","0","0","0","0","0"
