"pkey","creationTime","lastChangeTime","undeletable","name","userGroup"
"1","1266409711","1266409711","0","Esprit","2"
"2","1285937889","1285937889","0","s.Oliver","5"
"3","1296478436","1339412713","0","Depot","6"
"4","1296478613","1297184727","0","Mayersche Buchhandlung","8"
"5","1296478644","1296478644","0","Tom Tailor","7"
"6","1297776825","1431938780","0","Musterkunde","9"
"7","1301646311","1301646311","0","Mexx","10"
"8","1305623076","1305623076","0","Tommy Hilfiger","11"
"9","1310985322","1310985322","0","Budni","12"
"10","1325159811","1325159811","0","Tally Weijl","13"
"22","1422614367","1422614367","0","Karstadt Premium GmbH","28"
"12","1342682798","1342682798","0","s.Oliver Österreich","15"
"13","1371815833","1371815833","0","Esprit Schweiz","16"
"14","1380092854","1380092854","0","Calvin Klein","11"
"15","1380614194","1380614194","0","Ideas4Retail","19"
"23","1432812986","1432812986","0","Levi Strauss","29"
"17","1396525410","1396525410","0","S + K Schulze-Gruppe","21"
"18","1398177954","1398177954","0","Mode von Feucht","23"
"19","1418028752","1423753654","0","RStores","25"
"20","1418215628","1418215628","0","Popken Fashion Group","26"
"118","1596438886","1596453439","0","Mustang","124"
"24","1433855750","1433858719","0","p. t. concept","30"
"25","1436955357","1459412661","0","Buckenmaier","31"
"26","1438256117","1438256117","0","Akbas","32"
"27","1438699109","1438699109","0","H & D Gastronomie GmbH","20"
"28","1440144033","1441889681","0","Musterhandel","34"
"29","1441196103","1441196103","0","Faboulas","35"
"30","1441196115","1443177451","0","Five Crown","35"
"31","1443534291","1469006238","0","Urban-Denim","37"
"32","1445248650","1445248650","0","idee. Creativmarkt","38"
"33","1445427585","1445427585","0","Swarovski","39"
"34","1445501802","1445501802","0","Sündermann","40"
"35","1450086827","1450086827","0","SAM","41"
"36","1450431081","1542969655","0","VWA Store / Retail Support","42"
"37","1451904790","1451904790","0","E&N Collection / styles at fashion","43"
"38","1452591970","1541417368","0","Karsten Melcher","44"
"39","1454401480","1454401480","0","Marc-Uwe Fritz e.K.","45"
"40","1454674379","1454674379","0","Holger Ahlers e.K.","46"
"41","1455631738","1473749684","0","LPP Deutschland","47"
"42","1457444078","1457444078","0","FX Studios","48"
"43","1457444230","1457444230","0","Sandra Berger-Petsch","48"
"44","1463579606","1463579606","0","E.Breuninger","49"
"45","1467020012","1467020012","0","MetropolART","50"
"46","1467022547","1467022547","0","Hecht & Kauer","51"
"47","1467024538","1531925860","0","Das creative Hobby","52"
"48","1467808383","1467808383","0","Backlash","53"
"49","1467813396","1607435819","0","Hölzer Gruppe","54"
"50","1467814423","1467814423","0","Vegatex","55"
"51","1472541716","1472541751","0","SX 31","56"
"52","1475822568","1475822568","0","LONGCHAMP","57"
"53","1476881992","1476881992","0","Klingler","14"
"54","1478165605","1478165605","0","Swarovski (Schweiz)","58"
"55","1480327593","1480924801","0","Clinton (East & West)","59"
"56","1481728975","1481728975","0","C&A Schweiz","60"
"57","1482397225","1482397225","0","Maiworm Mode","61"
"58","1483605027","1483605027","0","Trigema","62"
"59","1489572754","1489572754","0","dm-drogerie markt","63"
"60","1490175271","1490175271","0","Reno","64"
"61","1491465055","1491465055","0","RMS","65"
"62","1495029985","1495029985","0","Senft","66"
"63","1496062087","1496062087","0","Tayler","67"
"64","1496134156","1496134156","0","Petersen / Eggemann","68"
"65","1498029245","1498029245","0","Thalia","69"
"66","1500291683","1500291683","0","Daniels","70"
"67","1500975831","1500975831","0","SPIESS","71"
"68","1501068685","1501068685","0","Triumph","72"
"69","1502356446","1502356446","0","Stoll von Gáti","73"
"70","1508851005","1508851005","0","FUSSL","74"
"71","1510144167","1510144167","0","Jeans Fritz","75"
"72","1512121851","1512121851","0","Eiscafé Florence","76"
"73","1513687873","1513687873","0","Dr. Rehfeld Fashion","77"
"74","1513693290","1546961873","0","Broadway NYC Fashion","78"
"75","1516178158","1516178158","0","Muddastadt","79"
"76","1518172428","1518172428","0","Union Investment","81"
