"pkey","user","usergroup"
"649","23","8"
"66698","2","55"
"66697","2","37"
"39653","7","2"
"6","4","2"
"68887","45","55"
"25988","146","47"
"55957","6","2"
"14","8","2"
"639","9","3"
"3787","10","2"
"29569","125","42"
"641","11","3"
"1181","12","11"
"1180","12","7"
"725","40","3"
"10618","136","40"
"640","11","2"
"96","14","2"
"86","15","3"
"85","15","2"
"66886","5","55"
"77540","3","42"
"77539","3","55"
"53762","250","88"
"66885","5","37"
"1599","16","11"
"1598","16","7"
"1597","16","3"
"12735","17","8"
"366","18","6"
"657","19","6"
"5344","20","7"
"53761","250","42"
"53760","250","55"
"81312","374","3"
"81147","382","88"
"66696","2","11"
"66695","2","7"
"66694","2","13"
"66693","2","39"
"66692","2","40"
"66884","5","62"
"66883","5","11"
"66882","5","7"
"77538","3","37"
"77537","3","72"
"77536","3","62"
"1596","16","5"
"1595","16","10"
"1594","16","8"
"1179","12","3"
"1178","12","5"
"1177","12","10"
"1176","12","8"
"1175","12","2"
"1250","21","7"
"20130","25","11"
"77535","3","11"
"158","1","1"
"3789","24","6"
"81296","26","11"
"1174","12","6"
"1593","16","2"
"1592","16","6"
"1455","27","11"
"1454","27","7"
"1453","27","13"
"1452","27","3"
"1451","27","15"
"1450","27","5"
"1449","27","10"
"41256","28","10"
"51571","29","10"
"48884","30","6"
"2474","31","6"
"1448","27","8"
"81146","382","42"
"77009","13","88"
"8854","32","12"
"1447","27","2"
"66881","5","69"
"66880","5","67"
"66879","5","13"
"56074","33","12"
"29401","34","12"
"36879","35","12"
"3484","36","12"
"51464","37","12"
"3486","38","12"
"10421","39","11"
"724","40","2"
"723","40","4"
"3910","41","6"
"77008","13","42"
"23847","42","5"
"1446","27","6"
"73430","369","4"
"73427","368","125"
"73696","367","142"
"73702","366","108"
"81145","382","55"
"81144","382","37"
"81143","382","115"
"81287","43","42"
"81286","43","55"
"81285","43","37"
"28203","44","13"
"68886","45","37"
"68885","45","115"
"68884","45","113"
"68883","45","81"
"68882","45","104"
"68881","45","72"
"68880","45","62"
"68879","45","11"
"68878","45","7"
"68877","45","69"
"68876","45","67"
"77007","13","55"
"77006","13","37"
"77005","13","115"
"81284","43","115"
"68875","45","13"
"1445","27","12"
"3790","46","10"
"77534","3","7"
"77533","3","69"
"77532","3","67"
"77531","3","13"
"77530","3","56"
"28209","47","10"
"977","48","11"
"911","49","11"
"976","48","7"
"975","48","13"
"974","48","5"
"973","48","3"
"972","48","10"
"971","48","8"
"970","48","2"
"969","48","6"
"968","48","12"
"967","48","4"
"910","49","7"
"909","49","13"
"908","49","5"
"907","49","3"
"906","49","10"
"905","49","8"
"904","49","2"
"903","49","6"
"902","49","12"
"901","49","4"
"3792","50","14"
"17725","51","5"
"48500","52","6"
"5346","53","7"
"68874","45","56"
"48701","54","15"
"66878","5","56"
"66877","5","58"
"81283","43","113"
"1444","27","4"
"77529","3","58"
"68873","45","58"
"66691","2","3"
"66690","2","41"
"66689","2","15"
"66688","2","5"
"66687","2","21"
"66686","2","47"
"66685","2","30"
"77004","13","113"
"77003","13","81"
"20509","96","21"
"81282","43","81"
"77528","3","39"
"2284","88","20"
"1092","57","11"
"1091","57","7"
"1090","57","13"
"1089","57","15"
"1088","57","5"
"1087","57","3"
"1086","57","10"
"1085","57","8"
"1084","57","2"
"1083","57","6"
"1082","57","12"
"5032","58","12"
"1081","57","4"
"1878","59","11"
"51462","60","12"
"3794","61","13"
"77527","3","40"
"3638","62","7"
"3637","62","13"
"3636","62","3"
"3635","62","15"
"3634","62","5"
"3633","62","21"
"3632","62","9"
"3631","62","23"
"3630","62","10"
"3629","62","8"
"3628","62","14"
"3627","62","19"
"1249","63","5"
"5345","64","7"
"60083","65","7"
"5349","66","7"
"5348","67","7"
"5352","68","7"
"5351","69","7"
"66876","5","39"
"4963","70","11"
"4962","70","7"
"4961","70","13"
"4960","70","3"
"4959","70","15"
"4958","70","5"
"4957","70","21"
"4956","70","23"
"4955","70","10"
"4954","70","8"
"4953","70","14"
"29936","71","6"
"56069","72","6"
"11028","73","13"
"5347","74","7"
"77526","3","73"
"30529","75","42"
"30528","75","55"
"30527","75","37"
"30526","75","62"
"30525","75","11"
"30524","75","7"
"30523","75","13"
"30522","75","56"
"30521","75","44"
"30520","75","58"
"30519","75","39"
"1876","76","2"
"20131","77","11"
"81281","43","120"
"81299","79","16"
"30518","75","40"
"30517","75","3"
"21945","127","32"
"25817","177","42"
"25816","177","55"
"55848","167","88"
"81142","382","113"
"80856","55","37"
"80855","55","115"
"80854","55","113"
"81595","80","42"
"81594","80","55"
"81593","80","37"
"81592","80","115"
"81591","80","113"
"30516","75","41"
"30515","75","15"
"30514","75","5"
"66684","2","26"
"77525","3","71"
"77524","3","3"
"66875","5","40"
"66874","5","3"
"1712","81","15"
"66873","5","66"
"68046","82","55"
"68045","82","37"
"68044","82","11"
"68043","82","7"
"68042","82","13"
"68041","82","56"
"68040","82","58"
"68039","82","39"
"68038","82","40"
"68037","82","18"
"68036","82","41"
"68035","82","15"
"81590","80","81"
"5923","83","7"
"5922","83","13"
"5921","83","3"
"5920","83","9"
"5919","83","15"
"5918","83","5"
"5917","83","21"
"5916","83","26"
"5915","83","23"
"5914","83","10"
"5913","83","8"
"5912","83","29"
"5911","83","25"
"20133","84","11"
"4952","70","19"
"1880","85","15"
"3788","86","19"
"20134","87","11"
"81280","43","104"
"77002","13","120"
"77001","13","104"
"68872","45","39"
"68871","45","40"
"81589","80","120"
"66683","2","48"
"4951","70","20"
"4950","70","16"
"4949","70","2"
"66872","5","41"
"66871","5","15"
"68034","82","5"
"30513","75","21"
"3626","62","20"
"3625","62","16"
"5910","83","14"
"66870","5","5"
"81588","80","104"
"48497","89","6"
"2354","90","10"
"66682","2","9"
"30512","75","47"
"55847","167","42"
"66869","5","21"
"66868","5","65"
"26098","172","42"
"81587","80","72"
"26917","102","37"
"26916","102","62"
"45442","126","42"
"45441","126","55"
"25819","188","61"
"23843","179","42"
"81279","43","72"
"7641","94","21"
"66681","2","34"
"3728","92","7"
"3727","92","13"
"3726","92","3"
"3725","92","15"
"3724","92","5"
"3723","92","21"
"3722","92","23"
"3721","92","10"
"3720","92","8"
"3719","92","14"
"3718","92","19"
"3717","92","20"
"3716","92","16"
"3715","92","2"
"2546","93","11"
"2545","93","7"
"2544","93","13"
"2543","93","3"
"2542","93","15"
"2541","93","5"
"2540","93","9"
"2539","93","10"
"2538","93","8"
"2537","93","14"
"2536","93","19"
"2535","93","20"
"2534","93","16"
"2533","93","2"
"2532","93","6"
"2531","93","12"
"2530","93","4"
"3714","92","6"
"81278","43","62"
"5909","83","28"
"5908","83","19"
"3713","92","12"
"23842","179","55"
"26097","172","55"
"5735","95","23"
"81586","80","62"
"77000","13","72"
"76999","13","62"
"76998","13","133"
"3624","62","2"
"3623","62","6"
"3622","62","12"
"5907","83","20"
"3712","92","4"
"81277","43","133"
"68870","45","73"
"68869","45","71"
"68033","82","21"
"68032","82","47"
"68031","82","30"
"81585","80","133"
"37097","97","6"
"20132","78","11"
"66680","2","23"
"66867","5","47"
"30511","75","30"
"76997","13","11"
"68868","45","3"
"3639","62","11"
"4948","70","6"
"81584","80","11"
"5906","83","27"
"55770","175","42"
"3729","92","11"
"68030","82","26"
"10417","98","11"
"3983","99","2"
"3984","99","3"
"53759","250","37"
"53758","250","81"
"53757","250","72"
"53756","250","62"
"53755","250","11"
"53754","250","7"
"53753","250","69"
"53752","250","67"
"53751","250","13"
"53750","250","56"
"53749","250","58"
"53748","250","39"
"53747","250","40"
"53746","250","73"
"53745","250","71"
"53744","250","3"
"43221","178","79"
"4947","70","12"
"4946","70","4"
"29568","125","55"
"6571","108","13"
"5112","107","28"
"68867","45","66"
"68866","45","41"
"68865","45","15"
"68864","45","5"
"68863","45","21"
"51346","154","42"
"51345","154","55"
"51344","154","37"
"33598","214","42"
"33597","214","55"
"33089","235","42"
"33088","235","55"
"25815","177","37"
"25814","177","11"
"25813","177","7"
"76996","13","7"
"76995","13","122"
"76994","13","114"
"67305","103","25"
"77523","3","66"
"81276","43","11"
"30510","75","26"
"68862","45","65"
"66866","5","64"
"66679","2","10"
"53743","250","66"
"48289","104","26"
"66865","5","30"
"57188","105","27"
"41258","106","27"
"81583","80","7"
"81582","80","122"
"81581","80","114"
"53742","250","41"
"53741","250","15"
"30509","75","23"
"30508","75","10"
"66678","2","50"
"66677","2","8"
"66864","5","26"
"76993","13","69"
"76992","13","67"
"76991","13","13"
"68029","82","48"
"68028","82","23"
"68027","82","10"
"81275","43","7"
"81274","43","122"
"77522","3","41"
"77521","3","15"
"68861","45","47"
"68860","45","64"
"76990","13","56"
"77520","3","5"
"5905","83","16"
"5904","83","2"
"5903","83","6"
"6570","108","3"
"6569","108","15"
"6568","108","5"
"6567","108","21"
"6566","108","30"
"6565","108","26"
"6564","108","23"
"6563","108","10"
"6562","108","8"
"6561","108","29"
"6560","108","25"
"6559","108","14"
"6558","108","28"
"6557","108","19"
"6556","108","20"
"6555","108","27"
"6554","108","16"
"6553","108","2"
"6552","108","6"
"6551","108","12"
"6550","108","4"
"53740","250","5"
"53739","250","21"
"53738","250","65"
"29567","125","37"
"81309","150","29"
"33087","235","37"
"33086","235","72"
"33085","235","62"
"33084","235","11"
"33083","235","7"
"33082","235","69"
"33081","235","67"
"33080","235","13"
"33079","235","56"
"33078","235","44"
"33077","235","58"
"33076","235","39"
"33075","235","40"
"33074","235","73"
"33073","235","71"
"33072","235","3"
"33071","235","66"
"33070","235","41"
"33069","235","15"
"33068","235","5"
"33067","235","21"
"5902","83","12"
"5901","83","4"
"65163","110","26"
"46110","111","26"
"46112","112","26"
"9083","113","11"
"9082","113","7"
"9081","113","13"
"9080","113","3"
